Red Fighter,Blue Fighter,Betting Odds (Red),Betting Odds (Blue),Payout (Red),Payout (Blue),Date,Location,Country,Winner,Weight Class,Gender,Number of Rounds,Wins (Blue),Stance (Blue),Height_cms (Blue),Reach_cms (Blue),Weight_lbs (Blue),Wins (Red),Stance (Red),Height_cms (Red),Reach_cms (Red),Weight_lbs (Red),Age (Red),Age (Blue),Women's Strawweight Ranking (Blue),Women's Bantamweight Ranking (Blue),Heavyweight Ranking (Red),Welterweight Ranking (Blue),Knockdowns (Red),Knockdowns (Blue) ,Significant Strikes Landed (Red),Significant Strikes Landed (Blue),Average Accuracy of Significant Strikes Landed (Red),Average Accuracy of Significant Strikes Landed (Blue),Total Number of Strikes Landed (Red),Total Number of Strikes Landed (Blue),Total Number of Strikes Attempted (Red),Total Number of Strikes Attempted (Blue),Average Takedowns Landed (Red),Average Takedowns Landed (Blue),Accuracy of Takedowns Landed (Red),Accuracy of Takedowns Landed (Blue),Number of Submissions Attempted (Red),Guard Passes (Red),Guard Passes (Blue)
Keith Wisniewski,Ivan Jorge,255,-280,255,35.71428571,9/4/13,"Belo Horizonte, Minas Gerais, Brazil", Brazil,Blue,Welterweight,MALE,3,0,Orthodox,175.26,185.42,155,0,Orthodox,182.88,190.5,170,31,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yuri Villefort,Sean Spencer,-220,200,45.45454545,200,9/4/13,"Belo Horizonte, Minas Gerais, Brazil", Brazil,Blue,Welterweight,MALE,3,0,Southpaw,177.8,190.5,170,0,Orthodox,182.88,185.42,170,22,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Benson Henderson,Anthony Pettis,100,-110,100,90.90909091,8/31/13,"Milwaukee, Wisconsin, USA", USA,Blue,Lightweight,MALE,5,3,Orthodox,177.8,182.88,170,7,Southpaw,175.26,177.8,170,29,26,0,0,0,0,0,0,11,9,0.68,0.56,26,10,37,17,0,0,0,0,0,0,0
Frank Mir,Josh Barnett,167,-178,167,56.17977528,8/31/13,"Milwaukee, Wisconsin, USA", USA,Blue,Heavyweight,MALE,3,4,Orthodox,190.5,198.12,250,14,Southpaw,190.5,200.66,264,34,35,0,0,6,0,0,1,9,26,0.56,0.68,20,33,29,46,0,0,0,0,0,0,0
Chad Mendes,Clay Guida,-500,435,20,435,8/31/13,"Milwaukee, Wisconsin, USA", USA,Red,Featherweight,MALE,3,10,Orthodox,170.18,177.8,155,5,Orthodox,167.64,167.64,145,28,31,0,0,0,0,1,0,32,17,0.48,0.17,40,19,74,101,3,0,0.6,0,1,0,0
Ben Rothwell,Brandon Vera,-155,145,64.51612903,145,8/31/13,"Milwaukee, Wisconsin, USA", USA,Red,Heavyweight,MALE,3,8,Orthodox,190.5,193.04,230,2,Orthodox,193.04,198.12,265,31,35,0,0,0,0,1,0,56,41,0.54,0.65,60,47,107,69,0,0,0,0,0,0,0
Erik Koch,Dustin Poirier,-200,185,50,185,8/31/13,"Milwaukee, Wisconsin, USA", USA,Blue,Featherweight,MALE,3,5,Southpaw,175.26,182.88,155,2,Southpaw,177.8,180.34,155,24,24,0,0,0,0,0,2,32,54,0.43,0.58,50,74,93,112,0,2,0,0.33,5,1,3
Jamie Varner,Gleison Tibau,-105,-105,95.23809524,95.23809524,8/31/13,"Milwaukee, Wisconsin, USA", USA,Blue,Lightweight,MALE,3,12,Southpaw,177.8,180.34,155,3,Orthodox,172.72,182.88,155,28,29,0,0,0,0,0,0,37,26,0.48,0.47,63,55,104,84,1,2,0.33,0.5,1,1,5
Louis Gaudinot,Tim Elliott,210,-230,210,43.47826087,8/31/13,"Milwaukee, Wisconsin, USA", USA,Blue,Flyweight,MALE,3,1,Southpaw,170.18,167.64,135,1,Orthodox,160.02,160.02,125,29,26,0,0,0,0,0,0,28,116,0.35,0.58,41,270,95,386,0,6,0,1,0,0,6
Pascal Krauss,Hyun Gyu Lim,-255,235,39.21568627,235,8/31/13,"Milwaukee, Wisconsin, USA", USA,Blue,Welterweight,MALE,3,1,Orthodox,190.5,195.58,170,2,Orthodox,185.42,182.88,170,26,28,0,0,0,0,0,2,21,26,0.35,0.34,21,26,59,75,0,1,0,1,0,0,0
Chico Camus,Kyung Ho Kang,210,-230,210,43.47826087,8/31/13,"Milwaukee, Wisconsin, USA", USA,Red,Bantamweight,MALE,3,0,Orthodox,175.26,185.42,135,1,Orthodox,167.64,167.64,125,28,25,0,0,0,0,0,0,28,18,0.4,0.25,68,117,110,173,0,3,0,1,1,2,8
Soa Palelei,Nikita Krylov,120,-130,120,76.92307692,8/31/13,"Milwaukee, Wisconsin, USA", USA,Red,Heavyweight,MALE,3,0,Orthodox,190.5,195.58,205,0,Orthodox,193.04,205.74,265,36,21,0,0,0,0,0,0,29,45,0.69,0.66,107,98,128,123,4,0,1,0,0,4,0
Ryan Couture,Al Iaquinta,185,-200,185,50,8/31/13,"Milwaukee, Wisconsin, USA", USA,Blue,Lightweight,MALE,3,0,Orthodox,177.8,177.8,155,0,Orthodox,177.8,190.5,155,31,26,0,0,0,0,0,0,45,80,0.29,0.45,47,86,158,183,0,4,0,1,0,0,0
Jared Hamman,Magnus Cedenblad,120,-130,120,76.92307692,8/31/13,"Milwaukee, Wisconsin, USA", USA,Blue,Middleweight,MALE,3,0,Orthodox,195.58,200.66,185,2,Orthodox,190.5,190.5,185,31,31,0,0,0,0,0,0,3,4,0.37,0.3,3,4,8,13,0,0,0,0,0,0,1
Carlos Condit,Martin Kampmann,-280,255,35.71428571,255,8/28/13,"Indianapolis, Indiana, USA", USA,Red,Welterweight,MALE,5,11,Orthodox,182.88,182.88,170,5,Orthodox,187.96,190.5,170,29,31,0,0,0,6,1,0,100,35,0.42,0.36,147,43,282,108,0,6,0,0.4,2,2,1
Donald Cerrone,Rafael Dos Anjos,105,-115,105,86.95652174,8/28/13,"Indianapolis, Indiana, USA", USA,Blue,Lightweight,MALE,3,8,Southpaw,172.72,177.8,170,7,Orthodox,185.42,185.42,155,30,28,0,0,0,0,0,1,40,39,0.5,0.35,43,58,83,128,1,2,1,0.33,0,1,0
Kelvin Gastelum,Brian Melancon,-310,280,32.25806452,280,8/28/13,"Indianapolis, Indiana, USA", USA,Red,Welterweight,MALE,3,1,Orthodox,172.72,182.88,170,1,Southpaw,175.26,180.34,185,21,31,0,0,0,0,1,0,14,7,0.6,0.33,14,9,24,23,1,0,0.5,0,1,1,0
Court McGee,Robert Whittaker,170,-185,170,54.05405405,8/28/13,"Indianapolis, Indiana, USA", USA,Red,Welterweight,MALE,3,2,Orthodox,182.88,185.42,185,4,Orthodox,180.34,190.5,170,28,22,0,0,0,0,0,0,88,48,0.28,0.26,99,49,318,185,1,0,0.12,0,0,0,0
Takeya Mizugaki,Erik Perez,160,-170,160,58.82352941,8/28/13,"Indianapolis, Indiana, USA", USA,Red,Bantamweight,MALE,3,3,Orthodox,172.72,172.72,135,4,Orthodox,170.18,172.72,135,29,23,0,0,0,0,0,0,39,37,0.36,0.32,59,49,126,127,2,5,0.4,0.45,1,2,0
Brad Tavares,Bubba McDaniel,-525,450,19.04761905,450,8/28/13,"Indianapolis, Indiana, USA", USA,Red,Middleweight,MALE,3,1,Southpaw,190.5,190.5,185,5,Orthodox,185.42,187.96,185,25,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dylan Andrews,Papy Abedi,-315,285,31.74603175,285,8/28/13,"Indianapolis, Indiana, USA", USA,Red,Middleweight,MALE,3,1,Southpaw,180.34,187.96,185,1,Switch,185.42,185.42,185,33,35,0,0,0,0,0,0,20,19,0.44,0.47,21,27,46,48,2,3,0.4,0.6,0,1,4
Justin Edwards,Brandon Thatch,248,-270,248,37.03703704,8/28/13,"Indianapolis, Indiana, USA", USA,Blue,Welterweight,MALE,3,0,Switch,187.96,187.96,170,2,Orthodox,177.8,177.8,155,30,28,0,0,0,0,0,2,2,17,0.2,0.65,2,24,10,33,0,1,0,1,0,0,0
Darren Elkins,Hatsu Hioki,145,-165,145,60.60606061,8/28/13,"Indianapolis, Indiana, USA", USA,Red,Featherweight,MALE,3,2,Orthodox,180.34,177.8,145,6,Orthodox,177.8,180.34,145,29,30,0,0,0,0,0,0,48,31,0.33,0.44,100,73,205,114,2,1,0.4,1,0,2,1
James Head,Jason High,-130,120,76.92307692,120,8/28/13,"Indianapolis, Indiana, USA", USA,Blue,Welterweight,MALE,3,0,Southpaw,172.72,180.34,155,2,Orthodox,185.42,185.42,170,29,31,0,0,0,0,0,0,0,1,0,0.16,0,8,1,13,0,1,0,1,0,0,3
Zak Cummings,Benny Alloway,-125,115,80,115,8/28/13,"Indianapolis, Indiana, USA", USA,Red,Welterweight,MALE,3,1,Orthodox,180.34,190.5,170,0,Southpaw,182.88,190.5,185,29,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mauricio Rua,Chael Sonnen,-160,150,62.5,150,8/17/13,"Boston, Massachusetts, USA", USA,Blue,Light Heavyweight,MALE,5,6,Southpaw,185.42,187.96,205,5,Orthodox,185.42,193.04,205,31,36,0,0,0,0,0,0,0,5,0,0.55,9,58,10,70,0,2,0,0.66,0,0,3
Alistair Overeem,Travis Browne,-150,140,66.66666667,140,8/17/13,"Boston, Massachusetts, USA", USA,Blue,Heavyweight,MALE,3,5,Orthodox,198.12,200.66,255,1,Orthodox,193.04,203.2,265,33,31,0,0,5,0,2,1,41,14,0.62,0.51,46,14,71,27,0,0,0,0,0,0,0
Urijah Faber,Iuri Alcantara,-215,195,46.51162791,195,8/17/13,"Boston, Massachusetts, USA", USA,Red,Bantamweight,MALE,3,3,Southpaw,175.26,180.34,135,4,Orthodox,167.64,170.18,135,34,33,0,0,0,0,0,0,54,8,0.68,0.34,127,25,155,43,4,1,0.8,1,0,1,2
Matt Brown,Mike Pyle,-125,115,80,115,8/17/13,"Boston, Massachusetts, USA", USA,Red,Welterweight,MALE,3,8,Orthodox,182.88,187.96,170,10,Orthodox,182.88,190.5,170,32,37,0,0,0,0,1,0,10,0,0.55,0,10,0,18,3,0,0,0,0,0,0,0
Uriah Hall,John Howard,-475,420,21.05263158,420,8/17/13,"Boston, Massachusetts, USA", USA,Blue,Middleweight,MALE,3,4,Orthodox,170.18,180.34,170,0,Orthodox,182.88,200.66,185,29,30,0,0,0,0,0,0,41,33,0.66,0.54,59,92,82,126,2,2,0.25,0.33,0,0,1
Joe Lauzon,Michael Johnson,-245,225,40.81632653,225,8/17/13,"Boston, Massachusetts, USA", USA,Blue,Lightweight,MALE,3,4,Southpaw,177.8,185.42,145,9,Orthodox,177.8,180.34,155,29,27,0,0,0,0,0,2,25,116,0.22,0.45,28,119,112,259,0,2,0,1,0,0,0
Brad Pickett,Michael McDonald,290,-320,290,31.25,8/17/13,"Boston, Massachusetts, USA", USA,Blue,Bantamweight,MALE,3,4,Orthodox,175.26,177.8,135,3,Orthodox,167.64,172.72,135,34,22,0,0,0,0,0,2,17,51,0.21,0.58,61,54,124,90,1,0,1,0,0,0,0
Conor McGregor,Max Holloway,-245,225,40.81632653,225,8/17/13,"Boston, Massachusetts, USA", USA,Red,Featherweight,MALE,3,3,Orthodox,180.34,175.26,155,1,Southpaw,175.26,187.96,155,25,21,0,0,0,0,0,0,53,23,0.34,0.24,71,32,173,104,4,0,0.8,0,0,6,0
Mike Brown,Steven Siler,-210,190,47.61904762,190,8/17/13,"Boston, Massachusetts, USA", USA,Blue,Featherweight,MALE,3,4,Orthodox,180.34,177.8,145,2,Orthodox,167.64,177.8,145,37,26,0,0,0,0,0,1,3,6,1,0.37,3,6,3,17,0,0,0,0,0,0,0
Diego Brandao,Daniel Pineda,-178,167,56.17977528,167,8/17/13,"Boston, Massachusetts, USA", USA,Red,Featherweight,MALE,3,3,Orthodox,170.18,175.26,145,3,Orthodox,170.18,172.72,145,26,28,0,0,0,0,0,0,42,61,0.48,0.38,64,88,108,195,8,0,0.8,0,0,3,1
Manvel Gamburyan,Cole Miller,-140,130,71.42857143,130,8/17/13,"Boston, Massachusetts, USA", USA,Red,Featherweight,MALE,3,8,Orthodox,185.42,187.96,145,3,Orthodox,165.1,170.18,135,32,29,0,0,0,0,0,0,23,32,0.37,0.28,84,94,126,175,5,0,0.71,0,0,0,0
Cody Donovan,Ovince Saint Preux,350,-440,350,22.72727273,8/17/13,"Boston, Massachusetts, USA", USA,Blue,Light Heavyweight,MALE,3,1,Southpaw,190.5,203.2,205,1,Orthodox,190.5,187.96,205,32,30,0,0,0,0,0,0,10,6,0.66,0.54,18,8,23,13,0,0,0,0,0,0,0
Ramsey Nijem,James Vick,-190,175,52.63157895,175,8/17/13,"Boston, Massachusetts, USA", USA,Blue,Lightweight,MALE,3,0,Orthodox,190.5,193.04,155,3,Orthodox,180.34,190.5,155,25,26,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0.5,0,0,0,0
Jose Aldo,Chan Sung Jung,-875,685,11.42857143,685,8/3/13,"Rio de Janeiro, Brazil", Brazil,Red,Featherweight,MALE,5,3,Orthodox,170.18,182.88,145,4,Orthodox,170.18,177.8,145,26,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lyoto Machida,Phil Davis,-325,295,30.76923077,295,8/3/13,"Rio de Janeiro, Brazil", Brazil,Blue,Light Heavyweight,MALE,3,7,Orthodox,187.96,200.66,205,11,Southpaw,185.42,187.96,185,35,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cezar Ferreira,Thiago Santos,-460,410,21.73913043,410,8/3/13,"Rio de Janeiro, Brazil", Brazil,Red,Middleweight,MALE,3,0,Orthodox,187.96,193.04,205,1,Southpaw,185.42,198.12,185,28,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thales Leites,Tom Watson,-160,150,62.5,150,8/3/13,"Rio de Janeiro, Brazil", Brazil,Red,Middleweight,MALE,3,1,Orthodox,185.42,185.42,185,5,Orthodox,185.42,198.12,185,31,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
John Lineker,Jose Maria,-400,355,25,355,8/3/13,"Rio de Janeiro, Brazil", Brazil,Red,Flyweight,MALE,3,0,Orthodox,165.1,165,125,2,Orthodox,160.02,170.18,135,23,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vinny Magalhaes,Anthony Perosh,-500,435,20,435,8/3/13,"Rio de Janeiro, Brazil", Brazil,Blue,Light Heavyweight,MALE,3,3,Orthodox,190.5,190.5,205,1,Orthodox,190.5,200.66,205,29,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amanda Nunes,Sheila Gaff,-195,180,51.28205128,180,8/3/13,"Rio de Janeiro, Brazil", Brazil,Red,Women's Bantamweight,FEMALE,3,0,Orthodox,165.1,157.48,135,0,Orthodox,172.72,175.26,145,25,23,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sergio Moraes,Neil Magny,-161,151,62.11180124,151,8/3/13,"Rio de Janeiro, Brazil", Brazil,Red,Welterweight,MALE,3,1,Orthodox,190.5,203.2,170,1,Orthodox,182.88,182.88,170,31,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ian McCall,Iliarde Santos,-455,405,21.97802198,405,8/3/13,"Rio de Janeiro, Brazil", Brazil,Red,Flyweight,MALE,3,0,Orthodox,165.1,167.64,125,0,Orthodox,165.1,162.56,125,29,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rani Yahya,Josh Clopton,-1000,800,10,800,8/3/13,"Rio de Janeiro, Brazil", Brazil,Red,Featherweight,MALE,3,0,Orthodox,167.64,172.72,145,3,Orthodox,167.64,170.18,135,28,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ednaldo Oliveira,Francimar Barroso,-120,110,83.33333333,110,8/3/13,"Rio de Janeiro, Brazil", Brazil,Blue,Light Heavyweight,MALE,3,0,Orthodox,185.42,190.5,205,0,Orthodox,195.58,200.66,205,29,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Viscardi Andrade,Bristol Marunde,-192,177,52.08333333,177,8/3/13,"Rio de Janeiro, Brazil", Brazil,Red,Welterweight,MALE,3,0,Orthodox,185.42,180.34,170,0,Orthodox,180.34,190.5,170,29,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Demetrious Johnson,John Moraga,-420,375,23.80952381,375,7/27/13,"Seattle, Washington, USA", USA,Red,Flyweight,MALE,5,2,Orthodox,167.64,167.64,125,5,Orthodox,160.02,167.64,125,26,29,0,0,0,0,0,0,67,32,0.7,0.42,112,53,150,103,12,1,1,0.2,3,13,0
Rory MacDonald,Jake Ellenberger,-230,210,43.47826087,210,7/27/13,"Seattle, Washington, USA", USA,Red,Welterweight,MALE,3,8,Orthodox,175.26,180.34,170,5,Orthodox,182.88,193.04,170,24,28,0,0,0,4,0,0,46,19,0.38,0.19,48,27,120,106,0,1,0,0.33,0,0,0
Robbie Lawler,Bobby Voelker,-345,315,28.98550725,315,7/27/13,"Seattle, Washington, USA", USA,Red,Welterweight,MALE,3,0,Orthodox,182.88,190.5,170,5,Southpaw,180.34,187.96,170,31,34,0,0,0,0,1,0,28,10,0.6,0.23,32,11,51,44,1,0,1,0,0,1,0
Liz Carmouche,Jessica Andrade,-500,435,20,435,7/27/13,"Seattle, Washington, USA", USA,Red,Women's Bantamweight,FEMALE,3,0,Orthodox,154.94,157.48,115,0,Orthodox,167.64,167.64,125,29,21,0,0,0,0,0,0,50,10,0.6,0.66,114,14,166,20,3,1,1,1,1,8,0
Michael Chiesa,Jorge Masvidal,255,-280,255,35.71428571,7/27/13,"Seattle, Washington, USA", USA,Blue,Lightweight,MALE,3,1,Orthodox,180.34,187.96,170,2,Southpaw,185.42,190.5,170,25,28,0,0,0,0,1,0,24,24,0.45,0.63,35,66,66,86,2,0,0.4,0,0,0,3
Danny Castillo,Tim Means,-265,245,37.73584906,245,7/27/13,"Seattle, Washington, USA", USA,Red,Lightweight,MALE,3,2,Orthodox,187.96,190.5,170,5,Orthodox,175.26,180.34,155,33,29,0,0,0,0,0,0,25,38,0.31,0.4,59,126,115,184,6,0,0.75,0,0,0,1
Mac Danzig,Melvin Guillard,145,-155,145,64.51612903,7/27/13,"Seattle, Washington, USA", USA,Blue,Lightweight,MALE,3,11,Orthodox,175.26,172.72,155,5,Orthodox,172.72,177.8,155,33,30,0,0,0,0,0,1,23,39,0.41,0.44,24,43,57,92,0,0,0,0,0,0,0
Yves Edwards,Daron Cruickshank,165,-190,165,52.63157895,7/27/13,"Seattle, Washington, USA", USA,Blue,Lightweight,MALE,3,2,Switch,172.72,182.88,155,10,Southpaw,175.26,185.42,155,36,28,0,0,0,0,0,0,48,44,0.38,0.3,48,44,128,142,0,0,0,0,0,0,0
Ed Herman,Trevor Smith,-175,165,57.14285714,165,7/27/13,"Seattle, Washington, USA", USA,Red,Middleweight,MALE,3,0,Orthodox,190.5,190.5,185,7,Orthodox,185.42,195.58,205,32,32,0,0,0,0,0,0,73,87,0.56,0.8,127,112,187,136,2,1,0.4,0.2,1,2,0
Julie Kedzie,Germaine de Randamie,170,-185,170,54.05405405,7/27/13,"Seattle, Washington, USA", USA,Blue,Women's Bantamweight,FEMALE,3,0,Orthodox,175.26,180.34,135,0,Orthodox,165.1,162.56,135,32,29,0,10,0,0,0,0,28,50,0.36,0.6,73,82,127,115,2,0,0.22,0,0,1,0
Aaron Riley,Justin Salas,220,-240,220,41.66666667,7/27/13,"Seattle, Washington, USA", USA,Blue,Lightweight,MALE,3,1,Southpaw,172.72,177.8,155,3,Southpaw,172.72,175.26,155,32,31,0,0,0,0,0,0,26,54,0.15,0.38,26,58,172,144,0,3,0,0.33,0,0,0
John Albert,Yaotzin Meza,-220,200,45.45454545,200,7/27/13,"Seattle, Washington, USA", USA,Blue,Bantamweight,MALE,3,0,Orthodox,175.26,187.96,145,1,Orthodox,172.72,172.72,135,26,32,0,0,0,0,0,0,4,4,0.33,0.57,9,29,17,33,0,1,0,0.5,3,1,2
Anderson Silva,Chris Weidman,-230,210,43.47826087,210,7/6/13,"Las Vegas, Nevada, USA", USA,Blue,Middleweight,MALE,5,5,Orthodox,187.96,198.12,185,16,Southpaw,187.96,195.58,185,38,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Frankie Edgar,Charles Oliveira,-640,470,15.625,470,7/6/13,"Las Vegas, Nevada, USA", USA,Red,Featherweight,MALE,3,4,Orthodox,177.8,187.96,155,9,Orthodox,167.64,172.72,145,31,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tim Kennedy,Roger Gracie,-155,145,64.51612903,145,7/6/13,"Las Vegas, Nevada, USA", USA,Red,Middleweight,MALE,3,0,Orthodox,193.04,200.66,185,0,Orthodox,180.34,187.96,185,33,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mark Munoz,Tim Boetsch,100,-110,100,90.90909091,7/6/13,"Las Vegas, Nevada, USA", USA,Red,Middleweight,MALE,3,7,Orthodox,182.88,187.96,185,7,Orthodox,182.88,182.88,185,35,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cub Swanson,Dennis Siver,-178,167,56.17977528,167,7/6/13,"Las Vegas, Nevada, USA", USA,Red,Featherweight,MALE,3,10,Orthodox,167.64,177.8,145,4,Orthodox,172.72,177.8,145,29,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chris Leben,Andrew Craig,140,-150,140,66.66666667,7/6/13,"Las Vegas, Nevada, USA", USA,Blue,Middleweight,MALE,3,2,Orthodox,185.42,193.04,170,12,Southpaw,180.34,187.96,185,32,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Norman Parke,Kazuki Tokudome,-131,121,76.33587786,121,7/6/13,"Las Vegas, Nevada, USA", USA,Red,Lightweight,MALE,3,1,Southpaw,180.34,185.42,155,1,Southpaw,180.34,177.8,155,26,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gabriel Gonzaga,Dave Herman,-155,135,64.51612903,135,7/6/13,"Las Vegas, Nevada, USA", USA,Red,Heavyweight,MALE,3,1,Orthodox,193.04,193.04,242,9,Orthodox,187.96,193.04,242,34,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Edson Barboza,Rafaello Oliveira,-600,500,16.66666667,500,7/6/13,"Las Vegas, Nevada, USA", USA,Red,Lightweight,MALE,3,2,Orthodox,172.72,180.34,155,5,Orthodox,180.34,190.5,155,27,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Seth Baczynski,Brian Melancon,-280,250,35.71428571,250,7/6/13,"Las Vegas, Nevada, USA", USA,Blue,Welterweight,MALE,3,0,Orthodox,172.72,182.88,170,4,Orthodox,190.5,187.96,170,31,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mike Pierce,David Mitchell,-660,540,15.15151515,540,7/6/13,"Las Vegas, Nevada, USA", USA,Red,Welterweight,MALE,3,1,Orthodox,182.88,193.04,170,8,Orthodox,172.72,177.8,170,32,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rashad Evans,Dan Henderson,-190,175,52.63157895,175,6/15/13,"Winnipeg, Manitoba, Canada", Canada,Red,Light Heavyweight,MALE,3,6,Orthodox,180.34,187.96,185,12,Orthodox,182.88,190.5,205,33,42,0,0,0,0,0,0,39,40,0.44,0.43,66,53,116,104,0,0,0,0,0,0,0
Roy Nelson,Stipe Miocic,-275,250,36.36363636,250,6/15/13,"Winnipeg, Manitoba, Canada", Canada,Blue,Heavyweight,MALE,3,3,Orthodox,193.04,203.2,240,6,Orthodox,182.88,182.88,263,36,30,0,0,5,0,0,0,23,106,0.18,0.61,25,129,130,197,0,1,0,0.12,0,0,0
Ryan Jimmo,Igor Pokrajac,-310,280,32.25806452,280,6/15/13,"Winnipeg, Manitoba, Canada", Canada,Red,Light Heavyweight,MALE,3,4,Orthodox,182.88,193.04,205,1,Orthodox,185.42,185.42,205,31,34,0,0,0,0,1,0,65,12,0.78,0.3,124,37,150,65,1,0,0.5,0,0,1,0
Alexis Davis,Rosi Sexton,-500,435,20,435,6/15/13,"Winnipeg, Manitoba, Canada", Canada,Red,Women's Bantamweight,FEMALE,3,0,Orthodox,160.02,160.02,135,0,Orthodox,167.64,172.72,125,28,35,0,0,0,0,0,0,44,34,0.6,0.55,161,115,223,158,0,1,0,0.5,3,2,1
Pat Barry,Shawn Jordan,105,-115,105,86.95652174,6/15/13,"Winnipeg, Manitoba, Canada", Canada,Blue,Heavyweight,MALE,3,2,Southpaw,182.88,190.5,260,5,Orthodox,180.34,187.96,235,33,28,0,0,0,0,0,1,2,10,0.66,0.66,2,16,3,22,0,0,0,0,0,0,0
Jake Shields,Tyron Woodley,190,-210,190,47.61904762,6/15/13,"Winnipeg, Manitoba, Canada", Canada,Red,Welterweight,MALE,3,1,Orthodox,175.26,187.96,170,2,Orthodox,182.88,182.88,170,34,31,0,0,0,0,0,0,82,60,0.38,0.63,132,97,267,131,0,0,0,0,0,0,0
Sam Stout,James Krause,-290,260,34.48275862,260,6/15/13,"Winnipeg, Manitoba, Canada", Canada,Blue,Lightweight,MALE,3,0,Orthodox,187.96,185.42,170,8,Orthodox,175.26,177.8,155,29,27,0,0,0,0,0,0,73,96,0.32,0.51,81,110,234,204,2,1,1,0.5,0,0,0
Sean Pierson,Kenny Robertson,130,-140,130,71.42857143,6/15/13,"Winnipeg, Manitoba, Canada", Canada,Red,Welterweight,MALE,3,1,Orthodox,177.8,187.96,170,3,Southpaw,182.88,193.04,170,37,29,0,0,0,0,0,0,36,65,0.39,0.54,58,139,119,218,0,1,0,0.16,0,0,3
Roland Delorme,Edwin Figueroa,-136,126,73.52941176,126,6/15/13,"Winnipeg, Manitoba, Canada", Canada,Red,Bantamweight,MALE,3,2,Orthodox,170.18,175.26,135,2,Orthodox,175.26,180.34,135,29,28,0,0,0,0,0,0,22,42,0.48,0.47,65,60,100,109,6,0,0.54,0,2,11,2
Mitch Clarke,John Maguire,230,-250,230,40,6/15/13,"Winnipeg, Manitoba, Canada", Canada,Red,Lightweight,MALE,3,2,Southpaw,175.26,175.26,155,0,Orthodox,177.8,185.42,155,27,30,0,0,0,0,0,0,41,15,0.39,0.36,118,66,188,95,0,3,0,0.42,0,1,2
Yves Jabouin,Dustin Pague,-340,310,29.41176471,310,6/15/13,"Winnipeg, Manitoba, Canada", Canada,Red,Bantamweight,MALE,3,1,Orthodox,175.26,187.96,135,3,Orthodox,170.18,172.72,135,34,25,0,0,0,0,0,0,20,15,0.68,0.83,54,51,74,63,1,1,1,0.5,0,1,6
Minotauro Nogueira,Fabricio Werdum,245,-265,245,37.73584906,6/8/13,"Fortaleza, Ceara, Brazil", Brazil,Blue,Heavyweight,MALE,5,4,Orthodox,193.04,195.58,231,5,Orthodox,190.5,195.58,240,37,35,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
William Patolino,Leonardo Santos,140,-150,140,66.66666667,6/8/13,"Fortaleza, Ceara, Brazil", Brazil,Blue,Welterweight,MALE,3,0,Orthodox,182.88,190.5,155,0,Orthodox,180.34,190.5,170,21,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
